"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"Gene1",37,30,31,32,18,15,35,23,40,23
"Gene2",14,25,32,58,36,19,35,55,28,29
"Gene3",29,12,15,48,33,31,29,15,28,18
"Gene4",35,14,4,54,23,25,49,17,51,33
"Gene5",64,20,24,68,28,45,16,72,36,23
"Gene6",23,12,22,17,34,13,46,20,16,27
"Gene7",20,18,34,19,21,23,17,24,28,12
"Gene8",38,27,23,19,13,26,14,6,23,24
"Gene9",33,38,31,34,53,21,30,45,31,19
"Gene10",31,29,34,22,14,18,52,28,20,39
"Gene11",35,32,26,18,30,24,17,51,92,15
"Gene12",25,17,35,27,27,21,36,22,29,21
"Gene13",23,18,23,23,21,29,11,34,20,12
"Gene14",54,26,45,25,54,37,35,28,26,34
"Gene15",9,29,17,21,29,18,35,19,30,28
"Gene16",25,18,25,24,42,19,33,46,25,26
"Gene17",27,28,30,25,26,19,11,30,22,24
"Gene18",17,28,47,39,28,27,10,18,20,14
"Gene19",30,32,28,45,29,39,20,12,13,23
"Gene20",49,25,19,29,15,25,34,7,23,23
"Gene21",28,35,36,21,22,26,37,13,21,47
"Gene22",42,31,19,40,23,43,22,36,37,22
"Gene23",14,15,19,35,12,28,25,26,23,17
"Gene24",36,29,16,33,23,17,20,17,30,22
"Gene25",38,23,31,41,14,33,26,33,26,35
"Gene26",23,26,18,27,19,4,31,36,21,32
"Gene27",22,20,22,16,42,17,34,40,26,28
"Gene28",22,37,34,36,45,25,53,51,35,38
"Gene29",27,22,32,26,20,42,18,44,21,20
"Gene30",36,27,39,53,19,28,25,40,53,16
"Gene31",42,13,22,31,22,26,32,25,26,17
"Gene32",37,34,26,25,36,37,30,20,35,39
"Gene33",50,21,13,21,40,36,6,28,19,32
"Gene34",11,35,42,35,36,32,19,39,18,35
"Gene35",54,46,48,20,36,33,36,17,24,14
"Gene36",21,33,23,35,16,19,20,39,13,32
"Gene37",23,53,40,16,31,35,23,21,27,24
"Gene38",24,20,23,24,28,23,32,35,14,39
"Gene39",25,25,42,42,36,20,22,43,30,35
"Gene40",35,29,32,28,36,27,28,35,40,17
"Gene41",36,42,35,26,30,24,25,22,19,23
"Gene42",49,43,24,29,38,20,25,12,8,25
"Gene43",26,21,35,33,17,9,26,39,42,43
"Gene44",22,20,25,17,24,36,33,17,38,46
"Gene45",22,17,25,18,19,34,39,26,28,23
"Gene46",30,36,26,34,23,31,28,51,19,24
"Gene47",17,40,8,42,22,55,22,28,26,31
"Gene48",32,47,44,38,30,35,32,19,53,56
"Gene49",33,25,36,17,35,30,21,18,28,42
"Gene50",28,58,24,24,36,29,21,28,24,24
"Gene51",75,18,59,28,34,45,38,29,31,38
"Gene52",23,23,19,21,36,36,20,48,22,26
"Gene53",9,31,37,19,19,30,13,32,28,38
"Gene54",18,35,35,30,42,49,60,47,28,59
"Gene55",14,15,22,15,27,21,21,25,29,19
"Gene56",46,15,27,24,34,26,13,40,17,46
"Gene57",46,30,39,46,31,21,42,41,18,26
"Gene58",32,35,28,32,22,57,20,30,17,12
"Gene59",29,30,42,23,46,34,29,16,21,33
"Gene60",71,31,16,43,40,43,29,36,33,37
"Gene61",39,17,35,23,19,47,49,37,12,21
"Gene62",15,28,11,34,30,25,27,20,40,21
"Gene63",24,52,22,26,29,17,38,26,23,16
"Gene64",28,34,44,39,34,48,14,27,26,21
"Gene65",25,18,25,38,27,35,32,36,46,14
"Gene66",27,10,20,39,55,22,46,28,30,15
"Gene67",19,43,22,28,46,31,47,17,16,27
"Gene68",19,27,26,51,43,40,26,29,23,25
"Gene69",30,22,45,17,31,30,28,37,36,31
"Gene70",40,28,40,35,25,45,24,24,29,34
"Gene71",24,27,31,16,20,41,28,43,29,33
"Gene72",37,39,24,42,23,27,37,28,32,36
"Gene73",23,16,35,17,26,16,30,34,27,20
"Gene74",11,38,31,34,37,23,35,38,23,34
"Gene75",24,42,33,17,42,22,53,29,32,41
"Gene76",19,25,55,28,32,63,31,26,38,25
"Gene77",14,17,15,32,11,25,31,38,40,37
"Gene78",46,23,27,38,22,36,35,38,30,42
"Gene79",20,39,40,47,21,29,28,20,42,33
"Gene80",19,35,37,14,74,22,31,19,24,22
"Gene81",24,29,43,26,45,37,33,33,32,17
"Gene82",18,14,50,17,22,14,15,33,19,32
"Gene83",37,30,38,59,34,22,48,35,27,43
"Gene84",10,31,22,16,23,19,25,28,21,38
"Gene85",41,15,54,35,26,27,40,20,38,45
"Gene86",39,18,16,18,19,22,30,19,35,21
"Gene87",28,15,35,13,29,10,34,8,20,26
"Gene88",16,53,27,27,37,22,33,31,22,21
"Gene89",37,11,34,22,50,10,46,16,16,39
"Gene90",30,38,41,10,32,34,30,31,58,44
"Gene91",36,23,23,28,51,25,10,31,23,29
"Gene92",44,29,35,10,38,32,30,13,22,27
"Gene93",25,48,43,22,32,21,20,17,43,19
"Gene94",16,42,22,33,22,27,58,25,34,42
"Gene95",13,17,29,19,31,19,22,36,51,15
"Gene96",36,31,28,17,42,57,30,33,31,32
"Gene97",35,56,31,18,36,54,26,34,58,46
"Gene98",47,37,20,28,37,42,17,22,40,16
"Gene99",34,17,17,34,28,22,23,40,52,31
"Gene100",43,33,12,36,13,29,25,38,17,37
